gene_id,C1,C2,C3,T1,T2,T3,T4,T5,T6,T7,T8,T9,Pathway
gene1,127.8993084,115.0598982,124.0306011,18.90220546,26.10013604,26.33687798,24.7322393,20.20617077,17.11559371,15.40925542,25.0458528,23.45576171,Pathway1
gene2,12.32971191,5.780080096,6.409780855,11.75141061,1.668062934,5.72126941,1.85229758,3.106999489,5.49894125,6.64155921,4.485006149,7.289475569,Pathway1
gene3,0,0,0,0.027609656,0.018899458,0.024624496,17.75652914,0.501075747,2.748554342,0.45990437,22.90259006,0.782160421,Pathway1
gene4,100.03164,93.92099594,110.0922497,9.969807793,120.4221575,31.9098336,140.3095999,36.08823249,94.6766168,20.48564202,84.86185907,124.2123994,Pathway1
gene5,1.771886221,1.358464641,6.6267785,12.05199327,16.92719948,2.673308988,15.74962156,51.74089601,30.99760062,12.20269776,15.44460115,91.43587674,Pathway1
gene6,4.931495623,26.96139154,1.994763379,8.711509011,1.538898719,10.25666866,18.63827754,3.914093564,9.388028359,4.869095343,14.96425625,9.501216289,Pathway2
gene7,200.687185,150.9589856,306.9703902,1679.630552,1318.082828,1859.723143,1253.001364,1681.959438,1288.6249,968.3293645,1727.77471,1724.335661,Pathway2
gene8,580.2139662,343.6009899,552.017835,555.3796358,978.2194019,386.4181096,641.3808576,844.7321436,438.8733024,465.5083191,426.7339962,495.8062886,Pathway2
gene9,37.31840221,27.95199894,63.57569559,68.60739721,40.52437125,50.95281165,118.8130557,43.50545355,26.42632553,47.58796064,46.40779809,40.72153267,Pathway2
gene10,0,0.131085377,0,0,0,0.112858201,1.528079654,3.944423639,3.620215291,0.278645582,2.229502546,5.741843594,Pathway3
gene11,2.783040414,15.36982559,4.410360946,1.468445597,0,1.210833482,1.2522887,0.664665238,0.419375023,1.308782049,1.377874139,2.330928581,Pathway3
gene12,49.36231419,0.377694185,9.132116211,14.63595636,26.66887762,22.63847945,15.64053402,9.539649878,14.95899675,13.76079677,14.64356895,18.00451244,Pathway3
gene13,0,31.1757217,12.16163579,0.153544043,0,6.573256191,2.622342088,1.024958035,12.78251264,7.443879264,5.446945726,4.086161858,Pathway3
gene14,17.29358057,24.90370588,7.811262068,21.37973839,37.28265762,35.03019027,30.99154272,61.89378227,38.91664402,68.76318834,31.36788708,53.31704123,Pathway3
gene15,8.870238839,18.26781483,24.30352598,54.53475875,29.66829892,19.2766569,22.12471112,15.872909,35.23145835,17.79304028,21.46877749,19.07045421,Pathway3
gene16,2.626100464,0.77759433,0,0,0.005646412,1.243303839,0.102456118,0.17207087,0,0.196873467,1.033742373,0.817875322,Pathway3
gene17,20.32213209,44.27642196,0.380704782,19.63777332,20.52148967,17.93154694,21.82594422,23.62672393,20.43110833,27.25605909,27.24651254,22.07631292,Pathway3
gene18,0.077912339,0,0,1.601728037,0,2.510164589,2.65265756,0.8400914,2.424428311,3.845644818,4.142091405,2.533969291,Pathway3
gene19,3.706013613,12.297685,9.22620686,9.922226039,39.05398147,13.45475081,5.370928111,15.08010572,8.369867954,12.67401605,20.94613646,19.64320638,Pathway3
gene20,10.98916154,35.90258022,9.30683719,29.55979528,45.64031296,16.38741514,70.75949377,27.80189744,39.28542217,25.29324635,20.35439189,38.9454727,Pathway4
gene21,0,0,0,1.695837387,0,1.957331181,0.206508394,5.618523247,0,1.066437669,0,2.098081084,Pathway4
gene22,0,0,0,10.23848135,0,9.085837683,1.024435726,1.067895316,4.053140677,3.716380189,0,0.571307335,Pathway4
gene23,8.434548932,12.61666567,19.04882331,14.80371747,22.34616732,16.62227636,11.9144813,16.8062531,19.07341029,28.10202573,26.16311668,21.99924351,Pathway5
gene24,3.902988511,0.27706778,0.058764129,8.647867611,18.01183376,8.485280619,11.08683752,11.64219221,5.946492121,9.473982634,19.58422096,12.46421722,Pathway5
gene25,15.45009321,16.61901821,5.642008789,9.705612367,17.1094206,44.70790226,15.11949223,15.51362163,10.4409341,15.60601121,14.5030543,20.00447302,Pathway5
gene26,4.127488009,23.75208236,4.045986423,7.24734235,12.57015999,21.00146468,34.17077712,20.32626318,15.01480438,22.2630115,26.21687393,20.72379108,Pathway5
gene27,0,24.21731687,0,1.326036148,10.08558766,7.796827951,1.220043372,6.167529339,0,1.56290761,5.666398856,7.968458274,Pathway5
gene28,5.830320594,0.846585882,0.359109833,39.73287551,49.81432108,15.86159308,77.50000867,22.45430224,28.22861159,32.31487335,47.53135269,20.31181505,Pathway5
gene29,0.070713916,11.89712404,4.791069126,40.37250029,16.03566002,11.05783401,22.77881292,14.84225463,21.54489127,15.03531368,14.29397549,14.10219673,Pathway5
gene30,0.117219465,0,0.158839048,9.053989331,12.15968393,2.026443572,3.302023807,3.691224695,2.324820575,4.981257029,5.06761366,3.16219689,Pathway6
gene31,0,0,0,4.374178322,0,4.305814674,0.939059641,2.108824523,7.017022622,2.142772623,0,4.17229372,Pathway6
gene32,24.19125678,211.3335342,16.05576987,17.10916652,44.26597755,0,65.9346083,19.65999198,47.94489844,33.38024882,55.95464238,55.76295239,Pathway6
gene33,9.997885157,30.16378429,5.785998399,29.14837218,3.601125088,7.065249764,20.22994456,7.439488722,8.618148804,7.315233859,9.369786062,6.354153048,Pathway6
gene34,46.11594965,0,22.88356572,19.93396048,7.704024739,23.39302312,17.60565807,28.65054796,15.88036796,14.70180754,15.93727774,23.17152631,Pathway6
gene35,3.919753342,12.82701017,0,13.50530677,4.228344976,3.505853486,7.168730784,15.08788515,11.83437058,5.51465319,5.250187084,5.350979057,Pathway7
gene36,0,32.79330763,0,0,14.10228257,0,5.764478517,0,0,2.373572704,20.49078567,0,Pathway7
gene37,13.65384706,17.87365398,18.50174009,9.748973835,32.73744169,20.17876099,38.94211728,17.65078401,35.93785968,31.79248943,29.19936958,41.40345871,Pathway7
gene38,0,0,0,2.173304897,26.15995258,3.650095986,5.901382055,1.259989252,0,4.364676446,0,4.991350334,Pathway7
gene39,1.513161751,24.97451509,4.100840635,21.02547164,35.02094393,21.37799703,15.75443579,17.34701671,16.04016238,19.26574498,15.4149322,15.54598923,Pathway7
